Exports to Country (Unit: US$ Thousand),總計,亞洲,中國大陸,香港,日本,韓國,新加坡,馬來西亞,印尼,越南,泰國,菲律賓,印度,孟加拉,巴基斯坦,澳門,亞塞拜然,柬埔寨,斯里蘭卡,緬甸,不丹,汶萊,尼泊爾,寮國,北韓,哈薩克,烏茲別克,喬治亞,亞美尼亞,土庫曼,塔吉克,吉爾吉斯,中東,沙烏地阿拉伯,科威特,阿拉伯聯合大公國,伊朗,伊拉克,土耳其,卡達,阿曼,以色列,巴林,阿富汗,塞普勒斯,約旦,黎巴嫩,敘利亞,葉門,歐洲,德國,荷蘭,英國,義大利,法國,俄羅斯,西班牙,瑞士,比利時,芬蘭,瑞典,奧地利,波蘭,丹麥,愛爾蘭,匈牙利,葡萄牙,捷克,挪威,斯洛伐克,烏克蘭,希臘,阿爾巴尼亞,保加利亞,教廷,冰島,盧森堡,馬爾他,摩納哥,羅馬尼亞,塞爾維亞,蒙特內哥羅,馬其頓,波士尼亞與赫塞哥維納,克羅埃西亞,斯洛維尼亞,白俄羅斯,摩爾多瓦,立陶宛,愛沙尼亞,拉脫維亞,北美洲,美國,加拿大,中美洲,墨西哥,巴拿馬,哥斯大黎加,巴貝多,巴哈馬,安圭拉,安地卡及巴布達,貝里斯,多明尼克,多明尼加,薩爾瓦多,瓜地馬拉,格瑞那達,海地,宏都拉斯,牙買加,蒙瑟拉特,尼加拉瓜,玻多黎各,聖露西亞,聖文森,千里達及托巴哥,聖克里斯多福及尼維斯,古巴,南美洲,巴西,智利,秘魯,阿根廷,哥倫比亞,玻利維亞,厄瓜多,圭亞那(法屬),蓋亞那,巴拉圭,蘇利南,烏拉圭,委內瑞拉,大洋洲,澳大利亞,紐西蘭,薩摩亞(美屬),斐濟,吉里巴斯,馬爾地夫,諾魯,巴布亞新幾內亞,紐克里多尼亞,萬那杜,所羅門島,大溪地,東加,吐瓦魯,薩摩亞,非洲,南非,安哥拉,赤道幾內亞,剛果,奈及利亞,埃及,賴比瑞亞,阿爾及利亞,波札那,蒲隆地,維德角,喀麥隆,中非共和國,查德,剛果民主共和國,葛摩,貝南,衣索比亞,厄利垂亞,吉布地,加彭,甘比亞,迦納,幾內亞,幾內亞比索,象牙海岸,肯亞,賴索托,利比亞,馬達加斯加,馬拉威,馬利,茅利塔尼亞,摩洛哥,模里西斯,莫三比克,納米比亞,尼日,盧安達,辛巴威,聖多美普林西比,塞內加爾,獅子山,索馬利亞,蘇丹,史瓦帝尼,坦尚尼亞,多哥,突尼西亞,烏干達,布吉那法索,尚比亞
2001年,126608592,67480658,5020729,28789386,13031446,3379063,4234012,3141450,1486330,1756335,2210056,2219050,642185,400147,174957,294101,853,182700,297456,170903,9,11469,4865,2389,16480,4726,2258,1063,1796,39,6,56,2253567,348009,62880,774672,164832,277,224310,19997,18523,307678,16568,26,62245,72264,56234,106673,18381,19989079,4531184,4255522,3371698,1261751,1183755,268857,680100,300486,678354,294703,380406,361377,162044,317014,674754,191255,119670,141998,115695,8546,73457,140835,295,18944,81,5223,287636,20696,6645,33881,0,0,2767,821,13507,19788,4816,597,18049,11330,11441,29705762,28128251,1576776,1793185,1030132,123842,75756,2219,61007,3,160,5228,2069,77939,65915,78977,409,11167,50903,15963,13,48607,52330,463,4879,24762,42,18925,1445591,573664,177039,87988,161030,120810,3553,71099,194,1530,24102,2917,66055,155430,1746212,1377541,200471,4760,12779,812,1411,73,7523,2079,5573,335,874,574,31,5058,1191056,501761,1334,14,861,139972,178806,8515,21874,332,22,1,7107,30,41,421,0,7956,2120,77,9569,1136,960,11759,4948,2,20644,22160,52309,7526,16067,7249,282,307,36628,31333,3463,604,345,163,8121,26,2754,1709,2,9330,1929,4149,3661,39428,1150,737,2352
2001年1月,10064663,5057970,300812,1799278,1213087,279758,417921,253989,120076,96302,188354,221834,48407,35498,13324,15406,74,13009,22453,15122,8,494,596,152,561,603,56,18,357,0,0,0,189496,26780,5846,59908,12463,0,26757,1077,688,31853,1073,5,2068,3692,4378,11555,1354,1720539,390006,355584,288573,107998,112300,19759,66844,43259,72476,26876,46712,28289,11576,22347,37726,11482,11165,5398,13176,829,5266,10756,1,1262,0,753,15941,2900,69,3091,0,0,168,5,1396,1842,348,41,1299,1417,715,2502547,2363807,138654,132314,80274,8989,7565,167,195,0,0,63,95,6432,4258,5158,53,364,3594,890,0,4615,3818,58,0,2241,0,1336,127241,56806,13833,7198,14669,10112,80,6407,36,62,1589,264,4327,11851,134193,108960,17208,16,1272,18,64,0,516,71,1,2,89,22,0,308,93834,39467,56,0,81,9212,15185,89,2510,29,0,0,155,0,0,0,0,816,78,0,841,207,1,982,294,2,1189,2761,2210,601,987,496,19,0,3624,2564,345,13,0,1,479,0,145,238,0,1090,15,376,562,3954,115,42,193
2001年2月,10389157,5599475,378680,2278661,1264032,284765,404266,225448,110453,118338,185757,187097,44070,33061,16334,21727,30,10820,19486,12579,0,958,214,97,1933,273,177,47,62,4,0,1,181231,26642,4558,59448,11012,0,24036,2186,795,31285,1916,0,2341,3971,5174,6795,1073,1746371,411079,364073,311284,115925,100309,20620,58817,33832,63327,24207,39431,39806,11411,22377,43801,12839,7154,9526,13513,846,5355,11404,5,1196,0,1341,10799,1394,111,3334,0,0,275,226,807,1518,328,2,1028,1061,1275,2323411,2202521,120836,125504,81030,8114,3132,58,169,2,0,933,390,3831,4529,4658,3,549,2468,841,0,5240,4527,9,476,973,0,1902,119072,55796,13623,8501,13147,7662,74,4355,0,20,1115,46,4558,10168,121640,100714,13545,900,1051,73,84,0,414,139,0,29,11,8,0,240,83804,37261,98,0,58,8450,14830,0,1574,0,21,0,375,0,0,86,0,779,98,0,1143,241,0,517,21,0,1099,709,2682,358,1688,380,1,89,1808,2262,447,42,22,22,1041,0,83,254,0,712,7,218,368,3761,26,42,8
2001年3月,12003917,6381736,438467,2667321,1373729,292584,405009,263734,136181,148357,202985,228288,56472,47291,16779,33387,20,16872,29652,19106,0,1042,960,341,1641,270,186,34,432,0,0,40,197493,26621,4573,73142,10091,0,18332,2685,4736,30764,1083,0,2659,8173,5276,8250,1109,1992000,456797,414094,359721,138025,115289,21297,66818,30971,68841,31157,37038,44326,16562,26370,56606,11049,12038,11357,13672,1052,7690,15178,48,1689,20,856,19543,1815,230,3321,0,0,440,56,885,1617,490,15,1272,1444,1211,2801942,2650755,151176,160397,95855,11496,5592,220,122,1,0,460,133,8131,5612,9359,90,1027,4788,1270,0,5335,4240,132,965,2088,38,1327,128743,54752,14284,8193,14875,10474,223,5526,5,213,3733,174,6185,10091,147656,121441,15282,90,963,6,135,0,553,238,0,67,32,41,0,96,106724,44742,114,0,284,11575,17878,3,1325,21,0,0,771,3,0,44,0,548,114,0,850,151,85,902,236,1,1796,1415,4014,429,1073,545,0,0,3213,3666,415,5,0,0,509,0,265,122,0,884,82,233,278,3938,53,1,93
2001年4月,11152057,6007373,425764,2574454,1157416,285644,354986,262583,138004,176665,193762,203465,57845,50114,15452,29487,31,19385,35895,20630,1,1395,412,352,2430,353,108,101,217,0,0,1,195404,29037,4770,73788,12456,0,10549,994,2318,32122,1616,0,3916,7954,5719,6105,4061,1752284,398327,351633,305440,123656,118207,16638,70688,24291,60561,21662,32914,32071,13131,22484,64115,11558,13333,8360,11112,595,7122,14641,7,1187,0,373,15338,1038,207,3317,0,0,318,15,1339,1633,363,16,1904,993,735,2559872,2419329,140489,165125,89832,11417,10188,151,53,0,0,480,197,8505,8034,9830,48,1340,6462,1956,0,4565,5110,25,472,2904,0,1663,135239,55232,15708,6623,16038,10410,879,6063,36,169,1533,269,6910,15361,133987,110225,14364,23,1060,97,243,0,753,138,0,0,52,42,0,267,105054,43438,163,0,111,13279,16278,951,2313,11,0,0,1606,2,0,55,0,327,102,14,370,113,15,2890,22,0,1783,1819,3284,1022,1269,753,0,0,2786,3129,315,26,0,71,811,0,264,2,0,810,160,165,110,3594,227,93,81
2001年5月,10406649,5642157,401687,2398196,1093657,263390,341605,258915,130181,168181,183235,184018,57849,45062,13335,29113,73,19058,32922,18345,0,786,967,295,345,324,74,59,66,36,0,0,175852,29110,4857,61722,16272,0,12345,1647,808,24776,1523,0,3277,6733,5197,6060,1525,1537043,318890,325692,249923,106039,92192,17591,66481,25345,49632,18650,30306,24543,11584,49005,61231,12450,8729,9155,8807,713,7676,12478,11,1344,0,222,17304,1688,157,2840,0,0,289,44,972,1177,480,43,1181,789,670,2461608,2334234,127306,144864,77680,10787,6828,275,82,0,0,327,214,8291,6862,8687,51,2183,6535,1419,0,4414,4053,65,430,2195,0,2082,124061,48096,15274,5836,15223,11432,224,6151,10,98,2291,471,6500,12414,136096,104325,13824,388,791,58,97,22,494,134,8,23,2,94,0,228,93882,39917,119,0,60,10631,13959,1616,1698,67,0,0,84,0,20,125,0,411,62,9,49,33,120,552,309,0,1734,1403,4269,626,1661,952,20,27,2985,2779,104,41,4,0,560,0,426,27,0,956,304,268,265,2887,83,74,381
2001年6月,10609009,5755974,416050,2406022,1165897,274475,324044,283152,132519,152126,201205,197257,58309,36583,14682,24236,35,21090,28384,15383,0,1597,305,208,1705,324,116,39,63,0,0,0,189947,31962,4883,68360,13184,0,16699,3479,2077,22146,2281,0,2394,6624,5234,8798,1826,1494479,306393,322843,265474,106487,93392,20292,59551,21956,51443,20946,25899,21146,12434,20461,53605,11586,9976,10433,7914,457,5851,14154,21,1637,0,235,17113,4300,133,2417,0,0,297,26,768,1044,661,40,1181,427,880,2543874,2416978,126885,166952,98705,12523,10891,207,73,0,25,159,173,8304,6419,7818,25,1989,4183,1213,0,3160,4731,32,12,2278,0,1114,135170,52503,19163,8096,13355,11297,650,7905,24,215,2475,136,4506,14808,156916,113549,18060,56,972,68,209,0,504,246,1001,17,111,94,0,405,98197,44961,130,0,37,9861,13001,76,1802,36,0,0,266,0,0,12,0,290,172,0,936,116,180,1415,90,0,2120,1244,3733,520,1326,989,0,46,3556,2968,178,77,199,0,632,0,140,198,0,1134,28,425,178,3480,186,28,194
2001年7月,10023783,5332662,422575,2260117,1010515,257154,312937,273900,121023,145556,181240,177413,58466,24735,13862,22928,65,14553,22035,9414,0,1384,440,293,694,312,227,71,152,0,0,0,184135,28526,5155,68112,13095,0,16689,1768,1327,22494,1566,9,2654,5982,4659,10577,1520,1368989,292372,302705,250934,65496,87892,23241,41581,19497,51409,20877,25312,19385,12906,18330,58144,11145,7971,10159,6370,843,8010,8647,16,1364,0,353,13717,784,106,2449,0,0,120,247,1038,1888,80,32,1212,617,898,2471003,2334338,136572,183260,92559,11264,10935,272,29659,0,82,848,185,4818,4273,5688,0,651,3996,1810,0,3255,4422,24,377,2781,0,2449,127673,46479,15567,6771,14598,12186,133,6938,35,177,2343,327,5440,16677,155616,118964,17064,2123,867,132,104,0,1171,127,21,33,118,30,7,289,100144,44496,5,0,30,11382,13458,1690,1544,5,0,0,528,0,0,25,0,683,224,0,752,23,159,959,250,0,4088,3161,1513,366,816,456,45,4,2481,2869,139,107,107,32,963,0,310,188,0,661,33,268,194,4756,14,14,193
2001年8月,9773224,5200783,431893,2354321,881252,262682,296233,242497,118916,121290,167104,161809,59028,24823,15526,19137,178,12559,19087,9875,0,576,256,115,594,311,15,119,111,0,0,0,189974,31013,5069,73147,12468,0,16870,1279,1725,22966,941,6,1951,4806,4294,11957,1480,1383522,290683,285280,238784,90199,77633,22799,42097,18599,53634,23021,23551,20398,10878,47347,35880,15860,9393,9751,7338,434,6132,9897,3,1358,0,118,30414,957,306,2501,0,0,67,25,926,2412,603,77,1884,758,896,2435253,2312608,122554,145638,90475,12111,4985,149,115,0,38,137,115,6822,5256,4865,15,862,3269,1300,0,3751,4276,51,8,2543,0,1141,105010,37240,14210,7344,11644,10034,171,4994,47,77,1709,146,4818,12575,143185,116090,19127,167,1080,32,48,0,324,244,652,14,58,37,8,663,93149,40056,22,0,58,12338,13237,66,2183,0,1,0,251,0,0,0,0,1005,87,2,440,65,154,440,191,0,1669,1728,4564,460,1378,123,0,64,3266,1555,76,21,9,1,659,25,166,1,2,535,318,443,463,2815,90,79,158
2001年9月,9138493,4934538,404158,2219402,805347,264395,293560,248181,128802,126711,143361,153322,49266,24854,12267,16412,52,11863,18523,9842,0,931,109,195,1599,379,732,56,61,0,0,0,187167,27683,3386,54356,18547,277,12222,951,480,17705,1026,6,34950,4442,2808,7552,776,1330293,305349,299425,217718,70497,78347,19492,35617,16207,42640,21715,20860,26966,13007,17167,53983,14486,6603,14848,7101,405,4567,7087,56,1226,0,224,24637,1095,369,1779,0,0,150,73,965,2237,298,41,1195,604,731,2141958,2017553,124350,128067,75545,8965,5162,245,189,0,4,252,120,4848,4582,6296,44,650,2630,878,13,3036,3073,38,6,1611,4,1431,109808,36655,13647,7267,13125,8363,194,4574,0,120,1297,191,6288,18087,135764,110192,17511,31,1052,123,100,47,404,245,1886,0,98,68,0,654,88946,40781,15,0,37,8636,12897,2261,1761,21,0,0,97,0,0,0,0,619,95,51,481,71,32,865,275,0,855,1164,4222,798,799,566,132,0,2380,2007,528,45,0,0,481,0,401,1,0,395,322,266,234,1795,75,0,210
2001年10月,11862545,6238607,476652,2759765,1063398,321375,366245,315073,149562,178629,200516,201948,59360,32975,14487,30210,204,18523,28902,14982,0,733,226,195,3355,613,183,12,46,0,6,13,208815,37144,6755,70352,15277,0,21830,1654,1734,23443,1115,0,2167,8074,4805,12736,1730,1924743,474605,406098,320192,111364,104023,26554,56575,23409,53892,30187,28180,33171,17645,25406,79119,27543,9471,15937,8582,758,7412,11632,88,1417,0,323,36173,2121,151,2871,0,0,152,20,1349,1458,438,46,1644,987,818,2841219,2690877,150218,160115,100035,11505,3965,306,54,0,4,433,201,7309,7299,6940,54,435,4756,1835,0,3542,4555,27,370,2395,0,1302,126314,44252,17215,8432,12842,10410,664,6571,0,158,1877,348,9038,14506,165914,133692,20436,303,1664,58,118,0,1041,207,0,10,54,49,16,1199,128135,50056,279,14,69,19006,15951,14,1963,92,0,0,2347,18,0,0,0,1005,699,0,1628,72,33,739,341,0,1221,3186,10873,371,1942,1041,48,17,3787,3540,265,130,0,35,628,0,299,372,0,573,255,557,538,2956,135,158,410
2001年11月,10515619,5596170,450179,2485551,1004295,300683,334588,246723,111144,150628,181151,176367,43335,24549,13407,23718,28,13211,20820,13116,0,775,179,91,504,457,139,58,50,0,0,0,164434,25650,5859,49863,14885,0,23073,850,1084,20716,1160,0,1734,5891,4518,7946,1205,1939183,483041,440061,291755,117615,105665,29677,50788,21795,51012,27489,29256,42151,14155,22567,57330,30673,12104,20716,8777,852,4289,11499,23,2406,0,201,42193,1394,31,2869,0,0,319,75,1689,1795,383,164,2496,1007,1307,2282255,2170755,111415,121023,75775,6709,3361,94,102,0,0,740,155,5064,4838,4972,1,336,3876,1285,0,3256,4659,1,1329,1236,0,1202,96350,37930,10977,7298,12629,8008,210,5878,0,85,2762,182,2723,7622,153741,126420,19060,177,1054,23,126,3,791,101,7,87,100,50,0,398,89820,33797,152,0,35,10711,15961,15,1464,2,0,0,132,0,20,58,0,531,112,0,895,15,34,774,1811,0,1252,2129,5355,918,1704,453,2,24,3471,2261,76,96,1,0,512,0,140,45,0,547,173,282,420,1922,27,22,85
2001年12月,10669476,5733214,473811,2586297,998820,292158,382618,267257,89469,173552,181385,126233,49778,20602,15502,28340,62,11756,19297,12508,0,799,200,54,1121,507,247,449,179,0,0,1,189619,27841,7169,62475,15083,0,24907,1427,750,27408,1267,0,2134,5922,4172,8343,721,1799633,403643,388033,271901,108451,98505,30898,64245,21325,59487,27915,40947,29125,16757,23153,73214,20582,11732,16357,9333,763,4086,13462,17,2857,61,224,44465,1208,4775,3091,0,0,172,7,1375,1167,344,80,1754,1226,1305,2340818,2214497,126321,159927,72367,9962,3153,75,30192,0,5,397,90,5585,3953,4705,24,782,4346,1267,0,4439,4866,0,434,1518,0,1977,110911,47924,13538,6428,8885,10423,51,5737,0,136,1378,362,4762,11271,161503,112968,14989,487,953,123,83,0,557,188,1995,53,151,39,0,310,109368,42788,180,0,1,14891,16169,1735,1738,48,0,1,495,7,0,16,0,941,276,0,1182,28,148,725,1109,0,1839,1440,5590,1057,1424,495,15,37,3271,1734,575,1,3,0,846,1,114,262,0,1032,232,650,50,3571,120,184,345
2002年,135769775,78460816,10690015,33049186,12393482,3977959,4646355,3223997,1480239,2324333,2384470,2117889,668785,365164,186912,290047,704,193765,272590,147089,0,11788,2760,1378,12938,7119,4679,1279,865,9,0,45,2425170,338703,74847,749653,199156,457,410506,16434,11153,267877,15811,58,60618,113319,44807,108640,13131,18807691,3884094,3836991,2983025,1260974,1141166,255217,684188,274015,643317,331684,362158,276433,179535,272388,592842,263888,125331,225720,120554,14381,69295,131919,118,36711,128,3976,639383,22066,615,51014,0,0,2165,918,20845,27200,4921,1263,22368,13564,15283,28915817,27373955,1541207,1789063,945469,129138,59338,2555,49397,0,138,10251,1173,83615,60525,81216,171,9475,51873,16122,20,43148,53464,498,1147,25560,44,18042,1144792,474706,171231,101641,45611,125543,4151,71510,244,2038,22515,2810,31313,91191,1953658,1605354,216539,11490,11846,953,1102,119,8609,2355,19043,594,3258,1215,9,3212,1186252,470896,1884,203,612,153711,191253,6937,21572,849,0,155,3562,40,30,639,7,5357,1129,26,5177,780,879,10367,4264,0,18577,30578,69468,11855,11006,8237,103,390,40434,28171,2003,623,763,385,6633,31,4085,1580,10,7384,16722,6283,3057,26995,1813,288,2812
2002年1月,10051537,5637460,507868,2564824,983312,292260,341746,231278,102730,143949,177596,139727,48493,22734,13108,21875,34,11076,20555,10900,0,795,120,116,735,524,757,181,66,0,0,2,188134,26847,6421,59472,19799,0,24335,1143,995,22002,1246,4,1794,6226,3658,12628,1563,1516538,320472,330499,220204,104601,114009,24609,48718,24146,57026,27715,29194,17043,13178,18750,44890,25239,8838,16168,10356,563,4791,10773,3,2864,0,386,29139,1371,27,2747,0,0,65,28,972,1577,374,61,1674,1087,853,2213146,2091784,121328,118927,70483,12327,3389,83,34,0,22,786,25,5427,3828,5628,0,362,3753,1631,0,2658,3104,77,32,1199,0,1776,91627,39707,12579,6750,1668,9533,182,4767,47,219,1537,151,4589,9866,129434,107713,13152,399,809,7,36,3,686,158,387,121,22,64,0,586,90418,34416,92,0,9,9480,13497,50,1075,260,0,33,161,0,0,49,0,546,116,0,841,103,150,673,407,0,1919,2972,5160,672,1810,931,1,63,4310,2498,110,0,0,3,428,0,596,41,0,505,901,560,197,4488,115,0,0
2002年2月,8303384,4505431,376991,1870007,884371,263179,303451,190111,100900,94064,163305,133366,42859,22386,13494,12976,22,6170,16458,8889,0,809,90,50,266,435,533,82,72,0,0,0,153487,21741,4787,50365,13136,0,24646,924,624,16826,861,11,1569,6993,2816,7341,847,1367148,274856,315139,208345,96949,71491,17652,49266,20153,45668,24980,25427,11982,12420,16234,46628,24031,6871,11252,9940,678,5538,8072,25,2750,0,186,46527,1187,63,4250,0,0,40,67,795,1542,529,147,1395,804,766,1851372,1749866,101473,95689,59910,8817,2194,125,102,0,0,552,67,4639,3400,3323,4,199,2425,732,0,2528,2945,34,754,883,0,1064,82194,36495,12258,6072,1193,7340,157,4665,0,90,1946,243,4005,7731,116789,96804,12362,806,268,93,63,15,644,151,746,12,50,44,0,299,76241,27637,91,0,0,12252,10282,2312,1098,0,0,24,82,0,0,0,0,228,54,0,275,145,21,488,1127,0,1865,2678,4044,556,1248,279,7,27,2605,1558,531,65,0,0,511,0,183,135,0,189,520,177,157,1544,77,6,125
2002年3月,11925107,6862983,823519,2939739,1147338,334971,373215,296154,131104,186809,243672,193815,56019,36607,14789,27037,123,15523,23901,14302,0,1298,251,109,1265,553,482,92,54,0,0,0,209567,28895,5854,67063,13610,0,35106,947,799,26551,1098,0,2810,10744,4434,10834,822,1749181,336483,369281,281736,109464,120632,20644,58351,24014,62759,22205,31053,19528,13674,27641,60921,22157,11467,29782,10852,949,5697,13056,3,3793,0,1168,75634,880,7,4900,0,0,81,49,1664,2203,330,75,1999,1207,1344,2488266,2344056,144081,143808,86816,10136,4143,125,102,0,3,1505,176,6082,5176,6246,38,468,5205,1163,0,4913,4600,69,0,2676,10,1747,111409,47062,17602,8916,2538,11242,666,7916,0,109,2750,210,2029,10287,162531,134540,16894,1963,612,53,39,0,582,209,2,19,118,39,0,278,112169,45753,207,0,97,16716,14254,88,1689,65,0,5,111,0,0,193,7,791,52,25,584,29,166,637,192,0,1946,1977,9222,1408,814,872,2,0,3589,2901,191,29,189,30,540,0,288,208,0,545,1110,297,328,3252,344,54,200
2002年4月,11288025,6526062,804865,2770053,1005018,342059,388653,274114,139982,200626,199639,188720,55356,44109,17057,27514,152,20819,27299,15229,0,1008,311,121,1464,383,295,277,193,0,0,0,210720,30623,5803,70798,12684,0,34037,1876,838,23261,1442,14,2771,10713,4698,10057,1105,1550533,321319,317538,260223,113531,80125,22917,58523,19821,50352,19292,28500,11936,12733,19498,55446,26010,8666,14359,8276,878,6609,10667,6,3706,93,148,59698,4894,70,3647,0,0,70,197,2278,2797,272,63,1869,1279,1207,2414395,2285074,129321,140055,74546,12275,3773,302,201,0,0,908,235,8126,4672,8466,25,863,6958,1290,5,4212,5393,70,158,2377,0,1639,102162,45993,14557,7017,2494,10539,101,7817,47,204,2447,265,2210,8441,166488,136098,17708,390,821,155,118,20,681,197,3699,32,36,87,0,270,97531,35711,131,25,45,13313,16522,115,2138,84,0,2,220,5,0,1,0,748,67,0,274,50,90,752,258,0,1191,2225,8385,702,507,920,0,22,2900,2192,135,81,4,99,562,0,251,120,0,1225,1487,522,366,2117,203,1,69
2002年5月,11422800,6758074,802802,2853835,1122673,347344,387437,309594,125866,200206,203950,197590,56262,41557,15789,29864,120,19889,23409,16697,0,814,203,258,238,438,503,48,87,0,0,31,208809,28547,4460,68638,17417,154,35590,1250,1079,21757,1825,0,2612,11430,4322,8942,788,1489025,300619,281294,264034,109591,78312,18530,50174,22246,49411,18257,31200,16075,12524,20209,48179,27610,10011,17742,8817,1202,5563,13584,4,2267,25,374,64797,1366,19,4718,0,0,141,126,1817,3234,287,104,1638,686,1182,2397156,2277527,119599,145191,79720,12775,3797,276,72,0,1,1040,95,8949,6060,7247,0,1341,5266,1679,0,4759,4811,55,15,2203,1,1493,103502,49031,13729,8566,2862,10913,187,5773,54,299,1872,235,1386,8552,151627,124694,18091,44,877,74,113,0,573,202,438,27,64,66,0,53,102202,32768,108,34,18,13028,16276,3915,1681,66,0,0,256,0,22,66,0,816,35,0,176,55,75,981,92,0,2812,2826,9118,1205,412,782,36,0,3379,1713,583,112,0,108,483,0,191,189,10,737,2147,586,443,3234,27,38,178
2002年6月,11652051,6786605,825766,2879241,1156382,334286,387942,280820,131566,201806,198956,190759,60107,34893,13881,24865,49,21246,27223,13525,0,1185,340,117,179,621,378,13,44,0,0,7,196105,26110,4925,58823,16683,0,33240,1233,1188,24162,1469,0,1914,11177,4516,9752,915,1422188,265195,292464,244652,106420,103633,16491,56418,17535,51613,20107,32536,13604,13054,21328,39047,19327,9685,8788,9111,821,7202,12374,13,3545,0,231,41265,1588,88,3726,0,0,252,30,1930,3275,536,168,1079,768,1151,2552709,2425861,126779,194501,88106,11901,7369,408,729,0,2,829,80,9132,5581,8945,13,1754,4298,1401,0,3875,4788,7,14,2409,0,2294,101987,43882,15985,8012,4145,11322,283,6357,0,280,1732,286,2047,7640,158232,129372,18391,7,760,87,96,6,493,172,2106,15,270,70,0,309,99819,40409,142,40,41,10595,15566,167,1167,119,0,58,175,0,0,31,0,505,112,0,203,79,38,898,225,0,1043,2196,9185,853,311,639,13,17,2760,2958,86,107,8,0,720,24,498,310,0,427,1753,247,132,3952,561,39,212
2002年7月,11581454,6659110,915567,2763137,1055294,320280,409518,296682,133468,180637,203965,191431,60216,28203,15780,22240,47,19791,27900,10769,0,1289,279,89,1596,372,104,45,34,5,0,0,214928,33911,6806,65185,25685,0,32552,1475,1063,23106,1602,0,2240,9470,3249,7140,1445,1366351,289204,279456,246148,74431,82072,22038,44821,19429,50044,25218,29942,16360,14144,20770,43665,20166,8076,9565,8227,1276,5871,8767,4,3173,0,268,29260,1177,1,4401,0,0,59,95,1142,1906,302,66,1832,879,1105,2717849,2573633,144186,150889,86911,14526,7067,185,83,0,0,866,144,8148,4975,5930,3,934,5011,1041,0,3029,4761,2,81,3208,0,1662,96294,40232,13647,9178,3815,10156,279,7429,25,71,1034,269,3267,6890,183776,151272,19591,1301,1821,159,90,0,815,101,2175,17,78,76,9,221,99685,40211,33,39,64,15091,16430,88,2493,63,0,3,67,21,0,35,0,426,71,0,151,46,121,728,232,0,1956,2353,3609,1080,311,452,0,0,3545,2910,68,11,0,0,642,0,199,53,0,624,784,1660,231,1628,36,97,788
2002年8月,11305274,6605562,995347,2801647,962437,316830,404075,270400,119248,184458,189084,192863,56209,23338,16924,22574,14,14989,19673,10726,0,895,353,111,1979,368,211,152,45,0,0,0,224574,28402,5789,57307,14897,190,37207,1344,779,20973,1240,23,35792,9273,3582,6791,984,1456388,288130,295926,237562,92715,87078,20907,68631,22871,52134,34079,27868,31849,13223,19840,44572,18272,9578,12121,9126,993,6716,9929,14,4067,0,151,33497,1760,2,3675,0,0,258,68,1619,1332,359,85,1904,1049,1221,2462018,2332056,129791,154961,76286,9456,6007,305,23934,0,31,398,116,7284,5414,5863,19,1271,3667,1322,0,3626,4191,14,0,2444,0,1227,84796,29933,13426,7342,3997,12856,597,6195,0,183,1594,96,2458,6119,171060,142006,19224,149,983,81,112,13,408,244,591,52,2103,51,0,113,92482,38142,177,0,75,12809,16744,53,1892,2,0,0,97,0,0,174,0,233,48,0,306,7,19,887,317,0,1379,2471,3516,670,724,484,0,124,3081,2132,24,43,0,88,671,7,262,112,0,338,1872,375,188,1352,94,21,68
2002年9月,11762875,6814986,1109960,2869174,958990,343151,388767,270287,122870,199196,198831,175276,58197,26656,17458,23273,15,15741,21044,11883,0,548,289,128,1594,528,127,122,50,0,0,2,199595,31425,7243,64906,13443,0,37548,1299,745,20091,1212,0,2030,8387,3550,6656,1061,1552155,342593,310511,236607,103895,83271,22254,47165,19355,49770,31864,26900,29735,16434,23353,56920,16845,9455,19254,11625,1290,5615,11357,10,2841,0,322,55084,1080,19,6733,0,0,298,95,1871,1496,386,75,1821,1654,1181,2507948,2378641,129288,165392,82344,13375,4713,219,23880,0,57,342,77,6731,4805,8989,29,593,3641,1264,0,4040,4563,49,43,1740,17,1228,98215,37441,14731,9707,5884,10946,860,5891,19,235,1509,233,1806,8913,181482,146983,20006,2569,1750,43,55,60,1198,282,3155,27,130,75,0,133,103836,47244,91,0,21,12688,15785,10,2118,22,0,5,331,5,0,0,0,325,228,0,496,19,93,706,203,0,1656,2731,3864,851,1196,673,1,10,3129,2682,54,36,14,0,632,0,415,80,0,505,2184,545,197,1231,134,11,133
