Exports to Country (Unit: US$ Thousand),總計,亞洲,中國大陸,香港,日本,韓國,新加坡,馬來西亞,印尼,越南,泰國,菲律賓,印度,孟加拉,巴基斯坦,澳門,亞塞拜然,柬埔寨,斯里蘭卡,緬甸,不丹,汶萊,尼泊爾,寮國,北韓,哈薩克,烏茲別克,喬治亞,亞美尼亞,土庫曼,塔吉克,吉爾吉斯,中東,沙烏地阿拉伯,科威特,阿拉伯聯合大公國,伊朗,伊拉克,土耳其,卡達,阿曼,以色列,巴林,阿富汗,塞普勒斯,約旦,黎巴嫩,敘利亞,葉門,歐洲,德國,荷蘭,英國,義大利,法國,俄羅斯,西班牙,瑞士,比利時,芬蘭,瑞典,奧地利,波蘭,丹麥,愛爾蘭,匈牙利,葡萄牙,捷克,挪威,斯洛伐克,烏克蘭,希臘,阿爾巴尼亞,保加利亞,教廷,冰島,盧森堡,馬爾他,摩納哥,羅馬尼亞,塞爾維亞,蒙特內哥羅,馬其頓,波士尼亞與赫塞哥維納,克羅埃西亞,斯洛維尼亞,白俄羅斯,摩爾多瓦,立陶宛,愛沙尼亞,拉脫維亞,北美洲,美國,加拿大,中美洲,墨西哥,巴拿馬,哥斯大黎加,巴貝多,巴哈馬,安圭拉,安地卡及巴布達,貝里斯,多明尼克,多明尼加,薩爾瓦多,瓜地馬拉,格瑞那達,海地,宏都拉斯,牙買加,蒙瑟拉特,尼加拉瓜,玻多黎各,聖露西亞,聖文森,千里達及托巴哥,聖克里斯多福及尼維斯,古巴,南美洲,巴西,智利,秘魯,阿根廷,哥倫比亞,玻利維亞,厄瓜多,圭亞那(法屬),蓋亞那,巴拉圭,蘇利南,烏拉圭,委內瑞拉,大洋洲,澳大利亞,紐西蘭,薩摩亞(美屬),斐濟,吉里巴斯,馬爾地夫,諾魯,巴布亞新幾內亞,紐克里多尼亞,萬那杜,所羅門島,大溪地,東加,吐瓦魯,薩摩亞,非洲,南非,安哥拉,赤道幾內亞,剛果,奈及利亞,埃及,賴比瑞亞,阿爾及利亞,波札那,蒲隆地,維德角,喀麥隆,中非共和國,查德,剛果民主共和國,葛摩,貝南,衣索比亞,厄利垂亞,吉布地,加彭,甘比亞,迦納,幾內亞,幾內亞比索,象牙海岸,肯亞,賴索托,利比亞,馬達加斯加,馬拉威,馬利,茅利塔尼亞,摩洛哥,模里西斯,莫三比克,納米比亞,尼日,盧安達,辛巴威,聖多美普林西比,塞內加爾,獅子山,索馬利亞,蘇丹,史瓦帝尼,坦尚尼亞,多哥,突尼西亞,烏干達,布吉那法索,尚比亞
2004年7月,15456057,10018046,3177412,2890537,1221885,528895,551589,364467,158499,255829,286197,339260,97905,34003,24856,30494,48,27060,19940,5294,7,1640,124,270,509,738,94,343,52,0,0,32,296501,39488,8543,85252,28948,10,67271,1149,1258,32484,1388,37,2993,9942,5036,8858,3845,1738165,329344,354589,289199,94105,133961,30770,67125,24865,69970,40206,32294,27011,17967,42766,42313,18777,10470,13368,12007,3175,7178,13327,53,3622,0,260,26133,1700,59,5471,0,0,77,126,2199,3838,1067,178,5118,9430,3009,2602924,2470245,132656,148394,88393,11219,4186,642,237,0,144,421,38,6328,4500,10160,18,984,2435,1534,0,3273,4117,12,101,3094,15,1430,139565,70119,14018,9131,12006,14695,123,4303,0,61,3605,252,2552,8686,259220,167841,71001,1361,691,53,147,42,628,217,9721,31,70,80,11,589,124205,49762,100,0,532,16417,21830,60,2915,844,0,26,440,12,0,84,0,151,194,3,547,0,165,1414,222,0,1019,4130,4857,989,2175,646,0,24,3918,2292,226,125,0,33,509,0,552,296,0,1565,2009,472,120,1100,302,51,413
2004年8月,15542448,9835652,3235198,2719785,1147061,504975,563821,363350,164716,283094,274002,346851,104483,28145,24514,24833,33,21082,20415,4403,0,1268,180,80,2248,689,103,108,188,8,0,0,322695,37733,7246,94000,28467,44,89464,1419,1201,34912,1275,111,2406,10142,4977,7981,1316,1904771,329134,418439,296647,139357,137136,36529,74437,23692,75543,50966,37029,25072,19560,38928,45776,18259,12411,15064,10445,5767,6046,16239,150,5762,0,504,28001,2133,0,6885,0,0,542,122,2215,4005,638,88,6754,11596,2172,2710445,2565527,144885,141694,80759,13353,4998,555,235,0,20,419,174,6145,5425,5979,38,368,3353,1139,0,3313,5080,27,0,4579,4,613,150912,73206,16908,8898,13180,15722,119,6090,0,162,3724,516,2711,9651,209997,177141,23814,644,549,77,87,0,513,237,36,18,29,49,4,1602,135235,63018,406,0,58,11878,18987,64,3198,797,0,1,289,0,0,129,0,302,120,29,562,49,123,2108,221,0,825,4900,8540,1066,1966,981,4,22,3030,2865,183,109,0,0,485,11,336,68,0,1427,2303,804,338,1545,92,44,357
2004年9月,15767656,10062377,3153452,2829323,1186669,496704,607157,388222,164052,296446,285708,407749,95071,36743,27368,29731,251,22496,24440,4447,0,1705,496,583,1720,1087,548,89,70,6,0,3,332479,44025,9041,114312,29217,14,76143,1089,755,29750,1093,4,2244,9999,4182,9373,1237,1916198,365327,381827,311621,125711,132212,39923,81589,24039,75539,47285,34637,26008,22914,36818,42697,25993,10874,15613,9772,9970,7736,12195,139,4345,2,453,36847,1831,0,7071,0,0,241,121,3358,2937,341,51,4955,9184,2923,2646454,2499271,147183,161594,80524,37854,3500,642,167,0,359,346,114,5776,5897,7550,0,432,3880,1461,0,3254,3367,0,39,3707,7,671,129917,55832,17905,9348,11178,13062,154,7175,111,288,4356,408,2555,7483,260187,210733,39463,770,1296,10,52,80,544,276,10,0,177,86,0,428,132830,59528,152,0,7,14459,20620,0,3015,770,0,12,290,2,1,129,0,241,140,15,427,7,222,1004,117,0,611,6172,5576,943,2603,836,1,3,4053,2549,376,262,0,0,625,0,126,9,3,750,2435,863,339,1277,41,10,242
2004年10月,16230536,10316459,3199409,2882092,1182538,477162,652474,412334,182081,362422,294444,418523,96660,37801,30899,26458,61,25997,24498,5209,0,1278,330,466,2046,766,270,125,29,4,0,27,320416,31264,9502,99589,28507,108,88223,2822,1163,28096,1448,0,2993,10771,4523,9003,2403,2141099,461134,403063,302838,142236,131101,46591,71963,32608,85852,55586,39356,28761,24356,46892,48619,22544,11667,20993,11929,17095,8099,16796,32,3740,0,370,55689,1974,38,9546,0,0,565,97,3599,3468,602,71,5291,19188,2710,2671675,2534651,137014,154582,86446,14814,6008,328,236,0,31,968,255,6009,6374,9421,21,435,2854,1234,39,4878,4751,22,16,3228,0,886,146707,65779,19223,11513,10810,15456,333,6531,3,293,4505,543,2474,9214,230639,193568,27307,1411,914,130,250,0,736,287,45,68,148,67,0,306,138764,66348,356,11,100,12400,19050,97,3573,729,0,0,234,3,0,267,0,291,61,64,1100,95,150,2147,240,0,1024,3262,7502,1164,2061,526,0,6,3321,2776,1148,131,16,1,570,0,348,15,25,1407,2292,843,260,1598,46,94,304
2004年11月,16393761,10119074,3403004,2806409,1208054,469322,530499,357108,154608,308730,296771,340257,103844,32181,26212,27658,116,22919,21720,5940,0,784,269,162,981,834,209,166,176,0,0,56,354169,40056,8590,105966,38455,29,96653,1170,963,35115,1590,2,2757,9334,4101,7924,1464,2237807,425986,439015,309378,174125,157683,41079,93248,33923,89638,67766,38919,29709,23344,50840,48802,24914,17582,19197,11970,15125,11156,14718,170,5511,0,400,56488,1227,3,9078,0,0,122,104,2497,4232,637,165,6528,5782,4267,2755604,2616993,138449,141934,76863,15608,4310,257,231,0,292,567,333,6449,5901,9345,76,433,3078,1902,0,3634,4746,56,119,2751,6,799,155208,73576,17262,8921,14822,13812,131,6338,33,341,6625,180,6217,6912,296527,220958,25795,841,654,0,214,0,523,382,6325,39,99,106,0,291,143569,68773,208,0,44,14133,20597,17,1667,961,360,0,374,4,0,157,0,331,161,0,1335,78,35,2511,81,0,357,3901,5694,2399,1611,699,244,2,4832,2192,209,150,35,0,775,0,504,298,2,690,2248,685,431,1915,73,47,462
2004年12月,15707466,9676550,3102159,2672319,1216074,426098,582471,374458,168237,313732,262660,294459,116567,37097,28423,28779,47,21257,17895,7810,0,1481,205,122,1597,1804,521,117,133,3,0,6,346104,33384,7590,101928,38116,35,97767,1058,934,36380,1429,1,2436,9610,5222,8533,1682,2218295,423371,420618,289147,163545,157473,52787,100607,32828,93126,55916,51032,28655,28273,65815,49609,21606,18236,21249,14253,11576,10264,17824,75,5882,0,461,45793,1318,40,8856,0,0,172,149,3603,4139,339,293,7727,5257,3957,2675961,2522091,153838,141030,77017,24305,4147,219,212,0,193,613,108,5496,7284,4557,11,238,2702,1454,0,3098,4189,225,1,2022,2,1313,134183,65877,16541,8236,10907,12089,109,4798,27,374,2981,475,3154,8605,256159,202146,41387,1254,642,129,161,0,693,302,4028,49,114,64,0,327,119388,52033,219,0,76,12455,18827,82,2493,548,0,0,493,4,0,660,0,305,159,7,681,47,1,4231,49,0,426,2322,4166,1186,1653,432,384,23,4837,1770,275,66,82,0,525,0,502,2,17,1273,2205,998,416,1612,165,13,356
2005年,199752569,130117740,44056256,34220105,15246183,5945086,8104189,4309863,2377687,4136208,3871961,4351158,1615188,447333,372864,325080,2607,332458,255681,80062,17,18206,2583,2131,20970,13433,4543,2716,1085,101,0,325,4229708,498550,115064,1091644,357767,2474,1295439,31928,16053,416880,18885,454,33220,168140,46996,117826,18388,23641547,4470240,4399256,3260253,1799461,1456752,517352,1079575,306176,935489,670119,484008,371754,452050,577662,500013,395581,262675,209168,162089,201774,123114,189520,574,63503,5,6943,268867,39372,89,87271,0,0,1784,1658,33824,49852,8001,1908,101789,85417,48133,30852631,29162882,1688849,1792569,884198,225195,80292,3673,97343,16,718,8113,2390,77449,56094,111641,1824,6479,33149,18898,0,39648,56595,450,680,34358,38,9055,2183319,1019410,233427,156097,180846,183997,2970,148141,370,2422,64445,4176,69096,117574,3039574,2410461,469743,13048,9844,1909,2479,327,10344,4631,4170,1397,2251,714,15,4648,1667536,733759,2826,169,2453,179554,289562,2477,36522,7201,58,151,4725,1666,332,3832,0,7859,2502,81,11096,607,1297,25081,3373,14,10194,49268,51982,14683,23862,6978,750,600,58238,29643,4109,1918,641,545,5431,29,5334,2657,152,13239,22993,10075,4918,20057,1898,625,3325
2005年1月,16210367,10548652,3528158,2844158,1328341,458308,543428,391066,270504,276548,319440,361838,95525,28387,27761,27962,38,19232,15204,7248,0,1184,149,163,2002,1396,278,117,123,3,0,49,323654,38996,7107,88834,35570,51,88082,1191,806,38407,1167,9,2341,10422,3407,6241,1022,2039871,382821,396521,260478,172978,135297,41945,91575,27099,88385,57507,47804,24575,25781,64482,49672,16127,17340,14679,15968,10408,7912,17940,64,4660,3,533,27384,1113,1,4735,0,0,95,198,2508,5094,861,102,6224,14707,3164,2459492,2319906,139467,119981,69665,10696,5801,471,237,0,0,817,90,6182,3469,5728,32,1139,1888,2191,0,3079,4010,19,5,1742,0,795,157161,73304,15963,9918,18449,13737,391,6682,82,109,4744,184,5726,7840,266960,227323,26975,1327,619,0,101,0,1072,318,4052,0,184,30,0,140,143439,78482,80,0,2,14490,16795,91,2367,361,0,0,117,0,12,99,0,16,104,17,635,24,100,1370,477,0,379,3999,3647,1126,681,474,225,0,5890,3106,269,171,29,0,715,0,387,15,141,982,1506,747,187,2223,86,10,478
2005年2月,12301241,7715982,2449134,1891102,1045550,351702,469430,291431,130703,257199,261258,349527,116320,27339,18759,17527,304,13793,16929,3888,0,654,128,50,1887,848,282,119,78,0,0,0,264304,49495,4466,69257,18013,28,71961,1191,1108,26073,1144,0,2695,8675,3287,6156,752,1655666,310459,310390,214897,137820,114950,33896,77288,23275,73072,45599,39672,19118,18669,41157,46539,14687,19846,12436,9825,10348,8667,15537,21,4318,0,540,16164,1503,1,5186,0,0,118,78,3759,5810,353,40,6033,7632,3260,2012931,1891436,121454,94364,47622,9409,4971,103,166,0,79,300,146,4564,3252,4017,0,233,1440,1128,0,3153,4558,0,0,3146,0,501,111415,53839,11443,8208,6993,11493,48,3684,0,374,4995,283,2933,7115,212313,157969,47396,1097,295,69,139,2,935,251,34,797,26,48,0,221,104340,43583,117,0,28,13370,16975,78,2408,290,0,92,151,0,0,80,0,133,43,29,1205,96,88,1688,200,6,711,3048,2143,976,1451,463,93,137,5917,1496,218,47,37,61,532,0,248,127,0,1049,2136,718,183,1317,11,47,210
2005年3月,16615113,10604724,3530250,2842983,1280615,480017,572854,358666,197671,374040,321402,324528,151933,44806,35264,27718,120,24364,26549,5211,17,1387,163,48,1846,1345,581,229,27,0,0,4,328778,42491,10235,88833,29541,105,87332,1540,1312,35382,1636,68,3360,14789,3421,7647,1086,2080845,393120,380031,262967,182476,127318,45106,97131,30055,90062,57036,46573,23467,32938,73548,53787,28550,20735,17317,17504,11794,7765,18913,26,6038,0,992,18111,1652,0,8153,0,0,133,95,3046,5758,1015,74,6684,7160,2775,2702637,2555008,147605,206136,73159,16010,6299,259,53013,16,12,503,193,5815,5050,7941,395,548,3177,1600,0,4071,5235,12,0,3621,0,676,163802,67955,16867,22530,12968,14502,137,8008,0,274,4868,493,4163,11036,249180,172524,55960,3919,865,62,248,0,753,183,2,46,214,64,0,198,147382,60093,240,0,3,19566,23221,145,2995,730,51,0,360,0,20,397,0,443,237,18,569,13,31,1390,58,0,1117,3463,6768,1243,1932,921,24,1,6334,2985,195,101,111,0,581,0,434,309,0,1885,3981,691,144,2506,395,9,306
